Country/Territory,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110
Montenegro,627082,629048,633966,631044,633324,621442,589324,530268,13812
Montserrat,4390,4500,5059,4938,5138,10805,11452,11402,102
Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550
Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590
Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578
Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615
Nauru,12668,12315,11185,10241,10377,9598,7635,6663,21
Nepal,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181
Netherlands,17564014,17434557,17041107,16617116,15899135,14944548,14130387,13037686,41850
New Caledonia,289950,286403,283032,261426,221537,177264,148599,110982,18575
New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,270467
